"","movie_id","director_id","director_name"
"651",8764,12987,"David Zucker"
"652",14347,13284,"Stanley Donen"
"653",16806,57434,"Amy Heckerling"
"654",10179,59023,"Stewart Raffill"
"655",48482,27538,"Douglas Day Stewart"
"656",10606,59023,"Stewart Raffill"
"657",47359,24318,"Richard Benjamin"
"658",69722,72427,"Alan Rudolph"
"659",1788,18378,"Herbert Ross"
"660",13764,16187,"Jeannot Szwarc"
"661",1369,16566,"George P. Cosmatos"
"662",11864,5231,"Wolfgang Petersen"
"663",1374,16483,"Sylvester Stallone"
"664",606,2226,"Sydney Pollack"
"665",12701,58220,"Hugh Hudson"
"666",10303,21819,"Lewis Teague"
"667",10957,67604,"Ted Berman"
"668",10957,107274,"Richard Rich"
"669",1816,4786,"Richard Attenborough"
"670",11954,10051,"Tobe Hooper"
"671",13155,154,"Walter Murch"
"672",9872,4600,"Joe Dante"
"673",11976,578,"Ridley Scott"
"674",11018,12114,"Michael Cimino"
"675",11509,8844,"Lawrence Kasdan"
"676",9080,4610,"John Landis"
"677",42040,5696,"Bruce Beresford"
"678",11064,1723,"Walter Hill"
"679",526,7187,"Richard Donner"
"680",105,24,"Robert Zemeckis"
"681",9340,7187,"Richard Donner"
"682",49370,14838,"James Bridges"
"683",11904,8246,"Barry Levinson"
"684",9626,2087,"Richard Fleischer"
"685",10328,6159,"Ron Howard"
"686",11418,57434,"Amy Heckerling"
"687",10905,67411,"Stan Dragoti"
"688",873,488,"Steven Spielberg"
"689",12235,19800,"Richard Marquand"
"690",15196,21217,"Jonathan Lynn"
"691",10849,1243,"Woody Allen"
"692",32147,122506,"Steven Hahn"
"693",27969,12698,"Bob Clark"
"694",34322,18854,"Martin Ritt"
"695",29077,65304,"Franc Roddam"
"696",9838,18669,"J. Lee Thompson"
"697",9281,2690,"Peter Weir"
"698",15983,64195,"Joseph Zito"
"699",24548,91727,"Lisa Gottlieb"
"700",11338,4610,"John Landis"
"701",10999,67753,"Mark L. Lester"
"702",11557,5572,"Joel Schumacher"
"703",13938,77300,"Michael Schultz"
"704",19259,1788,"Nicholas Meyer"
"705",16248,18254,"Simon Wincer"
"706",41166,64061,"Fred Schepisi"
"707",11797,64796,"Tom Holland"
"708",23919,16008,"James Komack"
"709",24873,19244,"Michael Winner"
"710",11893,58728,"Andrei Konchalovsky"
"711",11454,638,"Michael Mann"
"712",10658,686,"Willard Huyck"
"713",10136,12964,"Michael Ritchie"
"714",10776,7908,"Frank Oz"
"715",9874,16566,"George P. Cosmatos"
"716",8388,4610,"John Landis"
"717",11120,2690,"Peter Weir"
"718",13597,55983,"Jim Henson"
"719",6978,11770,"John Carpenter"
"720",36677,111492,"Alan Johnson"
"721",1500440,1776,"Francis Ford Coppola"
"722",168,1749,"Leonard Nimoy"
"723",48259,5696,"Bruce Beresford"
"724",63510,9309,"Richard Pryor"
