"","movie_id","actor_id","actor_name","billing_order","character"
"410",15573,78392,"Alfred Barker Jr.",4,"Cowboy Fats"
"411",15573,78393,"Nicolas Beauvy",5,"Cowboy Dan"
"412",14902,10775,"William Daniels",0,"John Adams"
"413",14902,79247,"Howard Da Silva",1,"Dr. Benjamin Franklin"
"414",14902,18328,"Ken Howard",2,"Thomas Jefferson"
"415",14902,10401,"Blythe Danner",3,"Martha Jefferson"
"416",14902,1480276,"Donald Madden",4,"John Dickinson (PA)"
"417",14902,53085,"John Cullum",5,"Edward Rutledge (SC)"
"418",551,193,"Gene Hackman",0,"Reverend Scott"
"419",551,7502,"Ernest Borgnine",1,"Mike Rogo"
"420",551,7503,"Red Buttons",2,"James Martin"
"421",551,7504,"Carol Lynley",3,"Nonnie Parry"
"422",551,7505,"Roddy McDowall",4,"Acres"
"423",551,7631,"Stella Stevens",5,"Linda Rogo"
"424",46059,4135,"Robert Redford",0,"John Dortmunder"
"425",46059,18364,"George Segal",1,"Andrew Kelp"
"426",46059,5372,"Ron Leibman",2,"Stanley Murch"
"427",46059,78416,"Paul Sand",3,"Alan Greenburg"
"428",46059,6561,"Moses Gunn",4,"Dr. Amusa"
"429",46059,7072,"William Redfield",5,"Lt. Hoover"
"430",10784,66776,"Liza Minnelli",0,"Sally Bowles"
"431",10784,13919,"Michael York",1,"Brian Roberts"
"432",10784,32059,"Helmut Griem",2,"Maximilian von Heune"
"433",10784,6748,"Joel Grey",3,"Master of Ceremonies"
"434",10784,36027,"Fritz Wepper",4,"Fritz Wendel"
"435",10784,31071,"Marisa Berenson",5,"Natalia Landauer"
"436",6949,10400,"Barbra Streisand",0,"Judy Maxwell"
"437",6949,31070,"Ryan O'Neal",1,"Howard Bannister"
"438",6949,29803,"Madeline Kahn",2,"Eunice Burns"
"439",6949,9601,"Kenneth Mars",3,"Hugh Simon"
"440",6949,6168,"Austin Pendleton",4,"Frederick Larrabee"
"441",6949,4776,"Michael Murphy",5,"Mr. Smith"
"442",993,3359,"Laurence Olivier",0,"Andrew Wyke"
"443",993,3895,"Michael Caine",1,"Milo Tindle"
"444",5916,13565,"Steve McQueen",0,"Carter ""Doc"" McCoy"
"445",5916,46597,"Ali MacGraw",1,"Carol McCoy"
"446",5916,8258,"Ben Johnson",2,"Jack Beynon"
"447",5916,49352,"Sally Struthers",3,"Fran Clinton"
"448",5916,3091,"Al Lettieri",4,"Rudy Butler"
"449",5916,14253,"Slim Pickens",5,"Cowboy"
"450",11943,4135,"Robert Redford",0,"Jeremiah Johnson"
"451",11943,70990,"Will Geer",1,"Bear Claw"
"452",11943,70991,"Delle Bolton",2,"Swan"
"453",11943,70992,"Josh Albee",3,"Caleb"
"454",11943,84240,"Joaquín Martínez",4,"Paints His Shirt Red"
"455",11943,76382,"Allyn Ann McLerie",5,"Crazy Woman"
"456",42492,10400,"Barbra Streisand",0,"Margaret Reynolds"
"457",42492,56930,"David Selby",1,"Paul Reynolds"
"458",42492,1204257,"Ariane Heller",2,"Elizabeth Reynolds"
"459",42492,2788000,"Terry Smith",3,"Peter"
"460",42492,2788001,"Gary Smith",4,"Peter"
"461",42492,118940,"Jane Hoffman",5,"Mrs. Koerner"
