"","movie_id","top_genre"
"823",28153,"Horror"
"824",29464,"Comedy"
"825",35275,"Comedy"
"826",32044,"Comedy"
"827",592,"Crime"
"828",42448,"Comedy"
"829",27085,"Science Fiction"
"830",103698,"Adventure"
"831",38925,"Drama"
"832",14683,"Animation"
"833",28415,"Crime"
"834",37627,"Science Fiction"
"835",11942,"Action"
"836",27327,"Music"
"837",229324,"Comedy"
"838",126423,"Documentary"
"839",42449,"Documentary"
"840",14267,"Comedy"
"841",1618700,NA
"842",1618073,NA
"843",1615002,NA
"844",1607129,NA
"845",1606344,"Documentary"
"846",1605188,NA
"847",1604004,"Animation"
"848",1601446,NA
"849",1601442,NA
"850",1598720,"Drama"
"851",1594267,"History"
"852",1593926,NA
"853",1593915,NA
"854",1589069,NA
"855",1588391,NA
"856",1588385,NA
"857",1583223,"Family"
"858",1571009,NA
"859",1571006,NA
"860",1571003,NA
"861",1571001,NA
"862",1571000,NA
"863",1563574,"Documentary"
"864",1559173,"Drama"
"865",1546567,"Drama"
"866",1546335,NA
"867",1546329,NA
"868",1545789,"Documentary"
"869",1545679,"Documentary"
"870",1543112,"Comedy"
"871",1539157,"Documentary"
"872",1538758,"Documentary"
"873",1524244,"Drama"
"874",1515435,"Comedy"
"875",1514716,"Documentary"
"876",1513453,NA
"877",1503415,"Drama"
"878",1499583,"Horror"
"879",1498102,NA
"880",1497134,NA
"881",1495335,NA
"882",1494054,NA
"883",1491450,"Documentary"
"884",1487524,NA
"885",1484793,"War"
"886",1480670,"Crime"
"887",1479150,NA
"888",1478068,"Music"
"889",1475348,"Documentary"
"890",1473950,NA
"891",1465493,NA
"892",1465303,NA
"893",1464296,"Documentary"
"894",1461439,"Comedy"
"895",1461056,NA
"896",1461044,NA
"897",1461028,NA
"898",1457839,"Documentary"
"899",1456523,"Documentary"
"900",1455553,"Documentary"
"901",1455001,"Documentary"
"902",1454715,"Documentary"
"903",1454224,"Documentary"
"904",1451993,"Documentary"
"905",1448349,"Documentary"
"906",1444739,"Music"
"907",1444565,"Documentary"
"908",1443707,NA
"909",1442980,NA
"910",1437105,NA
"911",1435810,"Documentary"
"912",1434816,NA
"913",1433480,NA
"914",1433076,NA
"915",1432973,"Documentary"
"916",1432779,"Documentary"
"917",1431302,"Documentary"
"918",1430307,"Documentary"
"919",1430248,"Documentary"
"920",1427051,NA
"921",1424344,NA
"922",1422998,NA
"923",1418194,NA
"924",1417652,NA
"925",1416222,"Documentary"
"926",1413471,"Comedy"
"927",1409691,NA
"928",1406202,NA
"929",1403120,NA
"930",1401638,NA
"931",1400697,NA
"932",1398089,"Fantasy"
"933",1396032,NA
"934",1395097,"Adventure"
"935",1395087,"Comedy"
"936",1394643,NA
"937",1394632,NA
"938",1393137,"Documentary"
"939",1390038,"Animation"
"940",1389526,"Music"
"941",1388170,NA
"942",1388152,NA
"943",1386622,NA
"944",1385842,"Animation"
"945",1384182,"Documentary"
"946",1381031,"Documentary"
"947",1380475,"Documentary"
"948",1379133,NA
"949",1376104,"Animation"
"950",1371939,NA
"951",1371302,NA
"952",1371205,"Animation"
"953",1369078,"Comedy"
"954",1365888,"Thriller"
"955",1364657,NA
"956",1364469,"Documentary"
"957",1364129,"Documentary"
"958",1363330,"Animation"
"959",1361881,"Drama"
"960",1361261,NA
"961",1359668,NA
"962",1358332,NA
"963",1358308,NA
"964",1357635,NA
"965",1357192,NA
"966",1356326,"Animation"
"967",1356316,"Animation"
"968",1355973,"Comedy"
"969",1355094,"Documentary"
"970",1352015,"Animation"
"971",1340740,"Animation"
"972",1340632,"Animation"
"973",1339418,"Animation"
"974",1339337,"Horror"
"975",1339211,"Animation"
"976",1338266,NA
"977",1330568,"Documentary"
"978",1328503,"Animation"
"979",1326010,NA
"980",1324877,NA
"981",1322965,"Science Fiction"
"982",1322643,NA
"983",1322423,NA
"984",1321812,NA
"985",1316990,NA
"986",1316343,"Drama"
"987",1313403,"Animation"
"988",1312533,NA
"989",1311573,"Adventure"
"990",1311565,"Adventure"
"991",1311536,"Adventure"
"992",1311523,"Adventure"
"993",1311499,"Adventure"
"994",1311489,"Family"
"995",1311207,NA
"996",1310973,NA
"997",1298551,"Documentary"
"998",1293317,"Horror"
"999",1293181,NA
"1000",1293178,NA
"1001",578,"Horror"
"1002",36685,"Comedy"
"1003",510,"Drama"
"1004",31121,"Comedy"
"1005",968,"Crime"
"1006",11843,"Comedy"
"1007",11963,"Thriller"
"1008",39282,"Comedy"
"1009",18660,"Comedy"
"1010",47178,"Drama"
"1011",3175,"Drama"
"1012",11484,"Science Fiction"
"1013",78353,"Crime"
"1014",19740,"Adventure"
"1015",11686,"Comedy"
"1016",29859,"Comedy"
